Giai đoạn,Portal,Chức năng,Chức năng chi tiết,Mô tả
Config,Admin,Quản lý đơn vị tính,Danh mục đơn vị tính,CRUD danh mục đơn vị tính
Config,Admin,Quản lý sản phẩm,Quản lý sản phẩm: Nâng cấp chức năng thêm mới/xem/sửa sản phẩm,Bổ sung chức năng để đánh dấu có quản lý tồn kho hay không? Đơn vị tính là gì?
Config,Partner,Quản lý sản phẩm,Quản lý sản phẩm,Bổ sung chức năng để đánh dấu có quản lý tồn kho hay không? Đơn vị tính là gì?
"Init, update",Partner,Điều chỉnh tồn kho,Danh sách phiếu điều chỉnh tồn kho,Xem các request điều chỉnh tồn kho
"Init, update",Partner,Điều chỉnh tồn kho,Thêm mới phiếu điều chỉnh tồn kho,"Thêm mới yêu cầu điều chỉnh tồn kho, cho phép thêm record bằng tay hoặc import file để append vào list trên màn hình"
"Init, update",Partner,Điều chỉnh tồn kho,Tải xuống file template import,"Insert sẵn danh sách sản phẩm, cấu hình (variants) và đơn vị tính vào file template danh sách các sản phẩm của admin/partner đấy, họ chỉ cần chỉnh sửa số lượng nữa thôi"
"Init, update",Partner,Điều chỉnh tồn kho,Xem chi tiết phiếu điều chỉnh tồn kho,Xem chi tiết phiếu điều chỉnh tồn kho
"Init, update",Partner,Điều chỉnh tồn kho,Chỉnh sửa phiếu điều chỉnh tồn kho,Chỉnh sửa phiếu điều chỉnh tồn kho
"Init, update",Partner,Điều chỉnh tồn kho,Xóa phiếu điều chỉnh tồn kho,Chỉ cho xóa khi yêu cầu ở trạng thái nháp
"Init, update",Partner,Điều chỉnh tồn kho,Gửi duyệt phiếu điều chỉnh tồn kho,"Admin duyệt thì mới apply số lượng mới (có thể âm hoặc dương) lên tồn kho on-hand
Lúc duyệt validate số lượng để không cho phép tồn kho on-hand < 0"
"Init, update",Admin,Điều chỉnh tồn kho,Danh sách phiếu điều chỉnh tồn kho,Xem các request điều chỉnh tồn kho
"Init, update",Admin,Điều chỉnh tồn kho,Thêm mới phiếu điều chỉnh tồn kho,"Thêm mới yêu cầu điều chỉnh tồn kho, cho phép thêm record bằng tay hoặc import file để append vào list trên màn hình"
"Init, update",Admin,Điều chỉnh tồn kho,Tải xuống file template import,"Insert sẵn danh sách sản phẩm, cấu hình (variants) và đơn vị tính vào file template danh sách các sản phẩm của admin/partner đấy, họ chỉ cần chỉnh sửa số lượng nữa thôi"
"Init, update",Admin,Điều chỉnh tồn kho,Xem chi tiết phiếu điều chỉnh tồn kho,"Xem chi tiết phiếu điều chỉnh tồn kho"
"Init, update",Admin,Điều chỉnh tồn kho,Chỉnh sửa phiếu điều chỉnh tồn kho,Chỉnh sửa phiếu điều chỉnh tồn kho
"Init, update",Admin,Điều chỉnh tồn kho,Xóa phiếu điều chỉnh tồn kho,Chỉ cho xóa khi yêu cầu ở trạng thái nháp
"Init, update",Admin,Điều chỉnh tồn kho,Gửi duyệt phiếu điều chỉnh tồn kho,"Admin duyệt thì mới apply số lượng mới (có thể âm hoặc dương) lên tồn kho on-hand
Lúc duyệt validate số lượng để không cho phép tồn kho on-hand < 0"
"Init, update",Admin,Điều chỉnh tồn kho,Duyệt phiếu điều chỉnh tồn kho,"Admin duyệt thì mới apply số lượng mới (có thể âm hoặc dương) lên tồn kho on-hand
Lúc duyệt validate số lượng để không cho phép tồn kho on-hand < 0"
"affect",Customer,,Nâng cấp chức năng chợ sản phẩm,Bổ sung giao diện thể hiện trạng thái hết tồn kho
"affect",Customer,Chợ ứng dụng,Nâng cấp chức năng chi tiết sản phẩm,"Bổ sung giao diện thể hiện trạng thái hết tồn kho"
"affect",Customer,Giỏ hàng và thanh toán,Nâng cấp chức năng Xem giỏ hàng,Bổ sung giao diện thể hiện trạng thái hết tồn kho
affect,Customer,Giỏ hàng và thanh toán,Nâng cấp chức năng Xem checkout thanh toán,Bổ sung giao diện thể hiện trạng thái hết tồn kho
affect,Customer,Giỏ hàng và thanh toán,Nâng cấp chức năng thanh toán đơn hàng,Bổ sung logic giữ hàng (reserved)
affect,Customer,Giỏ hàng và thanh toán,Nâng cấp chức năng hủy đơn hàng chờ thanh toán hoặc mua hàng thành công,Bổ sung logic bỏ giữ hàng (unreserved)
affect,Customer,Quản lý yêu cầu hoàn hủy,Nâng cấp chức năng tạo yêu cầu hoàn hủy,"Bổ sung đánh dấu sản phẩm nào hoàn hủy do hỏng hàng, sản phẩm nào hoàn hủy không hỏng hàng theo từng dòng của đơn hàng"
affect,Admin,Quản lý yêu cầu hoàn hủy,Nâng cấp chức năng duyệt yêu cầu hoàn hủy,"Bổ sung giao diện để admin có thể xem, sửa trạng thái sản phẩm của đơn hoàn hủy là hỏng hay không.
Sau khi duyệt thì dựa vào trạng thái của sản phẩm trong đơn hoàn hủy để quyết định có cộng tồn kho hay không."
report,Admin,Báo cáo tồn kho,Báo cáo biến động tồn kho theo mặt hàng,"Xem danh sách các giao dịch gây biến động tồn kho:
- Điều chỉnh tồn kho
- Mua hàng
- Trả hàng"
report,Admin,Báo cáo tồn kho,Báo cáo tồn kho tổng,"Lọc theo ngành hàng, partner, từ ngày, đến ngày để xem được:
- Đầu kỳ
- Biến động trong kỳ
- Cuối kỳ"
report,Partner,Báo cáo tồn kho,Báo cáo biến động tồn kho theo mặt hàng,"Xem danh sách các giao dịch gây biến động tồn kho:
- Điều chỉnh tồn kho
- Mua hàng
- Trả hàng"
"report",Partner,Báo cáo tồn kho,Báo cáo tồn kho tổng,"Lọc theo ngành hàng, partner, từ ngày, đến ngày để xem được:
- Đầu kỳ
- Biến động trong kỳ
- Cuối kỳ"
